unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1632268800000,2021-09-22 00:00:00,DOT/USDT,26.39000000,27.14000000,26.22000000,26.78000000,626212.43000000,16751905.47520000,20035
1632265200000,2021-09-21 23:00:00,DOT/USDT,26.20000000,26.54000000,25.67000000,26.39000000,1237265.42000000,32351845.23210000,39224
1632261600000,2021-09-21 22:00:00,DOT/USDT,26.98000000,27.36000000,26.11000000,26.19000000,1112833.31000000,29737253.28600000,39068
1632258000000,2021-09-21 21:00:00,DOT/USDT,26.44000000,27.32000000,25.50000000,26.98000000,1837729.37000000,48555826.57330000,68759
1632254400000,2021-09-21 20:00:00,DOT/USDT,27.53000000,27.75000000,26.28000000,26.44000000,1632096.25000000,43839676.78370000,55631
1632250800000,2021-09-21 19:00:00,DOT/USDT,27.76000000,27.98000000,27.46000000,27.53000000,678339.99000000,18810341.62090000,20758
1632247200000,2021-09-21 18:00:00,DOT/USDT,27.62000000,28.12000000,27.55000000,27.76000000,1054126.99000000,29345797.54830000,30151
1632243600000,2021-09-21 17:00:00,DOT/USDT,28.37000000,28.55000000,27.54000000,27.62000000,1068855.63000000,29997818.73760000,39655
1632240000000,2021-09-21 16:00:00,DOT/USDT,29.13000000,29.32000000,28.32000000,28.37000000,732966.74000000,21047063.93330000,31804
1632236400000,2021-09-21 15:00:00,DOT/USDT,28.45000000,29.18000000,28.35000000,29.13000000,741908.88000000,21375978.75860000,38136
1632232800000,2021-09-21 14:00:00,DOT/USDT,29.29000000,29.36000000,28.18000000,28.44000000,1030147.54000000,29601762.83520000,45951
1632229200000,2021-09-21 13:00:00,DOT/USDT,29.30000000,29.71000000,29.01000000,29.29000000,655194.75000000,19223835.09570000,26978
1632225600000,2021-09-21 12:00:00,DOT/USDT,29.71000000,30.08000000,29.23000000,29.30000000,827359.45000000,24504263.74000000,39412
1632222000000,2021-09-21 11:00:00,DOT/USDT,29.98000000,30.21000000,29.64000000,29.71000000,493229.29000000,14764537.12150000,17978
1632218400000,2021-09-21 10:00:00,DOT/USDT,29.68000000,30.17000000,29.31000000,29.97000000,720364.94000000,21438061.04970000,30071
1632214800000,2021-09-21 09:00:00,DOT/USDT,30.16000000,30.28000000,29.55000000,29.68000000,704066.18000000,21054429.76460000,22548
1632211200000,2021-09-21 08:00:00,DOT/USDT,29.59000000,30.38000000,29.35000000,30.16000000,995678.04000000,29764674.91720000,46597
1632207600000,2021-09-21 07:00:00,DOT/USDT,29.26000000,29.59000000,28.91000000,29.59000000,580506.37000000,16995510.44920000,26524
1632204000000,2021-09-21 06:00:00,DOT/USDT,28.70000000,29.48000000,28.67000000,29.25000000,727118.95000000,21189092.10820000,30703
1632200400000,2021-09-21 05:00:00,DOT/USDT,28.53000000,28.92000000,27.97000000,28.70000000,919314.29000000,26124256.16000000,39127
1632196800000,2021-09-21 04:00:00,DOT/USDT,28.74000000,29.08000000,28.24000000,28.53000000,872273.94000000,24919745.04880000,34348
